 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
163,1,255,0,255,255,255,145.500,8.500,145.500,8.500,2.828,145,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,145,8,135.000,1.000,1.000,1.000,1.000
164,1,255,0,255,255,255,147.500,8.500,147.500,8.500,2.828,147,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,147,8,135.000,1.000,1.000,1.000,1.000
165,1,255,0,255,255,255,151.500,8.500,151.500,8.500,2.828,151,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,151,8,135.000,1.000,1.000,1.000,1.000
166,1,255,0,255,255,255,153.500,8.500,153.500,8.500,2.828,153,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,153,8,135.000,1.000,1.000,1.000,1.000
167,1,255,0,255,255,255,157.500,8.500,157.500,8.500,2.828,157,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,157,8,135.000,1.000,1.000,1.000,1.000
168,1,255,0,255,255,255,163.500,8.500,163.500,8.500,2.828,163,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,163,8,135.000,1.000,1.000,1.000,1.000
169,1,255,0,255,255,255,165.500,8.500,165.500,8.500,2.828,165,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,165,8,135.000,1.000,1.000,1.000,1.000
170,1,255,0,255,255,255,177.500,8.500,177.500,8.500,2.828,177,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,177,8,135.000,1.000,1.000,1.000,1.000
171,1,255,0,255,255,255,181.500,8.500,181.500,8.500,2.828,181,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,181,8,135.000,1.000,1.000,1.000,1.000
172,1,255,0,255,255,255,191.500,8.500,191.500,8.500,2.828,191,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,191,8,135.000,1.000,1.000,1.000,1.000
173,1,255,0,255,255,255,193.500,8.500,193.500,8.500,2.828,193,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,193,8,135.000,1.000,1.000,1.000,1.000
174,1,255,0,255,255,255,205.500,8.500,205.500,8.500,2.828,205,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,205,8,135.000,1.000,1.000,1.000,1.000
175,1,255,0,255,255,255,217.500,8.500,217.500,8.500,2.828,217,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,217,8,135.000,1.000,1.000,1.000,1.000
176,1,255,0,255,255,255,219.500,8.500,219.500,8.500,2.828,219,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,219,8,135.000,1.000,1.000,1.000,1.000
177,1,255,0,255,255,255,223.500,8.500,223.500,8.500,2.828,223,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,223,8,135.000,1.000,1.000,1.000,1.000
178,1,255,0,255,255,255,225.500,8.500,225.500,8.500,2.828,225,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,225,8,135.000,1.000,1.000,1.000,1.000
179,1,255,0,255,255,255,227.500,8.500,227.500,8.500,2.828,227,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,227,8,135.000,1.000,1.000,1.000,1.000
180,1,255,0,255,255,255,231.500,8.500,231.500,8.500,2.828,231,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,231,8,135.000,1.000,1.000,1.000,1.000
181,1,255,0,255,255,255,233.500,8.500,233.500,8.500,2.828,233,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,233,8,135.000,1.000,1.000,1.000,1.000
182,1,255,0,255,255,255,237.500,8.500,237.500,8.500,2.828,237,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,237,8,135.000,1.000,1.000,1.000,1.000
183,1,255,0,255,255,255,245.500,8.500,245.500,8.500,2.828,245,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,245,8,135.000,1.000,1.000,1.000,1.000
184,1,255,0,255,255,255,247.500,8.500,247.500,8.500,2.828,247,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,247,8,135.000,1.000,1.000,1.000,1.000
185,1,255,0,255,255,255,249.500,8.500,249.500,8.500,2.828,249,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,249,8,135.000,1.000,1.000,1.000,1.000
186,1,255,0,255,255,255,251.500,8.500,251.500,8.500,2.828,251,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,251,8,135.000,1.000,1.000,1.000,1.000
187,1,255,0,255,255,255,253.500,8.500,253.500,8.500,2.828,253,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,253,8,135.000,1.000,1.000,1.000,1.000
188,1,255,0,255,255,255,255.500,8.500,255.500,8.500,2.828,255,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,255,8,135.000,1.000,1.000,1.000,1.000
189,1,255,0,255,255,255,257.500,8.500,257.500,8.500,2.828,257,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,257,8,135.000,1.000,1.000,1.000,1.000
